conversation_id,intent,confidence,first_detected_at
0796e0e4-e6f8-4f75-b20e-466abe97ddb0,Operate System,0.5025,2026-08-30T12:01:27.924753+00:00
09752897-d16c-476d-ae76-b8cf9dc94a98,Active Navigation Help,0.5063,2026-08-30T01:34:42.536505+00:00
09752897-d16c-476d-ae76-b8cf9dc94a98,Request Information,0.6395,2026-08-30T01:35:24.128130+00:00
098a0909-d5e1-427a-88ac-bda635e9b475,Request Information,0.6945,2026-08-30T07:33:54.725664+00:00
098a0909-d5e1-427a-88ac-bda635e9b475,Active Navigation Help,0.5457,2026-08-30T08:59:19.383479+00:00
09e95652-e9aa-4162-a526-b5a8d1b2c293,Request Information,0.4428,2026-08-30T06:57:20.558490+00:00
09e95652-e9aa-4162-a526-b5a8d1b2c293,Active Navigation Help,0.3955,2026-08-30T06:57:52.534612+00:00
12ac98bf-388a-425f-b765-12b4d457a5c1,Request Information,0.6582,2026-08-30T08:22:43.008215+00:00
12ac98bf-388a-425f-b765-12b4d457a5c1,Resolve Problem or Incident,0.472,2026-08-30T08:23:55.261110+00:00
150b1fad-88a3-4491-9285-d94c10878e8a,Request Information,0.6209,2026-08-30T08:27:59.951040+00:00
1710919c-f784-4a25-bb15-ff78d84876a8,Resolve Problem or Incident,0.6155,2026-08-30T07:41:28.972457+00:00
17b813c9-a768-45ad-a305-317e4a71a2f5,Request Information,0.8802,2026-08-30T10:32:01.751305+00:00
1802e1c9-e4a5-4ade-abc0-33fda8ce8655,Resolve Problem or Incident,0.5905,2026-08-30T07:54:30.607860+00:00
1802e1c9-e4a5-4ade-abc0-33fda8ce8655,Request Information,0.5921,2026-08-30T07:59:46.534460+00:00
1802e1c9-e4a5-4ade-abc0-33fda8ce8655,Active Navigation Help,0.8945,2026-08-30T08:57:12.767065+00:00
1bdaef0b-2928-4349-a389-16df918a46e9,Request Information,0.3891,2026-08-30T08:21:51.018751+00:00
1dc0a253-b919-4093-93b6-8d4beea581fd,Request Information,0.8152,2026-08-30T09:39:20.010682+00:00
2186420d-9e43-430b-989a-43ea93f113a1,Resolve Problem or Incident,0.9588,2026-08-30T06:54:43.382722+00:00
2186420d-9e43-430b-989a-43ea93f113a1,Request Information,0.63,2026-08-30T07:33:48.562371+00:00
22e99039-ae98-45f1-a5d7-e29a837bf076,Active Navigation Help,0.6105,2026-08-30T11:37:25.780336+00:00
2b7a5408-d6cd-492a-a896-ef73c9780ab5,Resolve Problem or Incident,0.3565,2026-08-30T00:18:47.345733+00:00
2c7fe844-8cdb-4bfa-a7d1-e42df5ed1638,Request Information,0.6951,2026-08-30T07:51:47.049209+00:00
2c9c7738-2fad-4d52-a6f7-4145c87ab9c3,Request Information,0.7156,2026-08-30T06:57:20.066889+00:00
3151ae09-babf-4390-96d8-23dee8f71d61,Operate System,0.974,2026-08-30T11:54:10.691680+00:00
3c5199ec-97da-44d6-b197-ddb822420d34,Perform Transaction / Change,0.4658,2026-08-30T12:36:34.621551+00:00
4a916ae0-5164-4721-9e2a-bb454f60e83e,Request Information,0.8602,2026-08-30T11:04:23.113760+00:00
4a916ae0-5164-4721-9e2a-bb454f60e83e,Active Navigation Help,0.8207,2026-08-30T11:27:35.670875+00:00
4ceeb9ef-dafd-40d5-b801-2d1fdf2f342f,Request Information,0.6324,2026-08-30T00:13:25.466176+00:00
5270dd13-a20f-40d1-8698-12200f7401cd,Request Information,0.4425,2026-08-30T12:53:43.827981+00:00
5a11222d-3512-4cf3-ac04-34962cd1c6c7,Request Information,0.7185,2026-08-30T07:20:09.311852+00:00
5a11222d-3512-4cf3-ac04-34962cd1c6c7,Resolve Problem or Incident,0.6093,2026-08-30T07:21:00.470565+00:00
5a11222d-3512-4cf3-ac04-34962cd1c6c7,Operate System,0.4542,2026-08-30T07:25:22.413579+00:00
5b59c348-5104-4426-b094-a1ec3a358e77,Request Information,0.742,2026-08-30T07:04:03.267456+00:00
612c5c31-c3f4-4b08-8345-141dfe79c4ce,Request Information,0.5005,2026-08-30T08:11:05.260063+00:00
612c5c31-c3f4-4b08-8345-141dfe79c4ce,Perform Transaction / Change,0.494,2026-08-30T08:27:03.145582+00:00
612c5c31-c3f4-4b08-8345-141dfe79c4ce,Active Navigation Help,0.2755,2026-08-30T08:28:54.895433+00:00
612c5c31-c3f4-4b08-8345-141dfe79c4ce,Report Emergency,0.2832,2026-08-30T08:30:11.304546+00:00
724c3ab3-b430-4b15-a866-f1101b897d14,Request Information,0.8301,2026-08-30T06:29:41.677127+00:00
7451fd46-ff76-4fec-9ec2-076d524a37d7,Resolve Problem or Incident,0.5144,2026-08-30T18:01:07.233693+00:00
7451fd46-ff76-4fec-9ec2-076d524a37d7,Request Information,0.8558,2026-08-30T18:29:20.744918+00:00
7466a6c5-9600-4e8d-b1da-a668f622c694,Request Information,0.5492,2026-08-30T08:22:44.663142+00:00
746b7d39-5c44-40a6-824e-d95faf4328ea,Request Information,0.7078,2026-08-30T07:15:45.547917+00:00
74ab239a-92a2-46cf-98b5-898ad2c24b38,Request Information,0.9064,2026-08-31T09:17:44.832610+00:00
77658bc7-a721-4106-8750-c293cfc9019a,Request Information,0.9539,2026-08-30T04:16:14.563621+00:00
7b9ef30d-c36a-4b2e-ab4e-fd5263ec8fb2,Request Information,0.7205,2026-08-30T01:09:38.525952+00:00
7b9ef30d-c36a-4b2e-ab4e-fd5263ec8fb2,Operate System,0.2894,2026-08-30T01:09:57.728932+00:00
8124951f-c944-4f22-a02c-d7b55b124694,Request Information,0.9371,2026-08-30T07:27:38.240722+00:00
86a85eaa-6fdb-44d8-93db-781000e103b0,Request Information,0.4176,2026-08-30T10:34:00.702699+00:00
8acea325-0a61-4973-bead-aaa09a2d3bdb,Request Information,0.9035,2026-08-30T02:16:48.240090+00:00
8aceb9ed-07e4-46b2-afbf-63bc22bcc8de,Request Information,0.697,2026-08-30T07:30:41.978404+00:00
8b42a238-3b6a-4db7-a5a7-f852ecd43246,Request Information,0.8138,2026-08-30T02:15:31.363081+00:00
